date,home,visitor,FT,hgoal,vgoal,comp_season,cup,shootout_winner
1994-01-04,Real Madrid,Atlético Madrid,2-2,2,2,1993-94,Copa del Rey,
1994-01-04,Sporting de Gijón,Barcelona,0-3,0,3,1993-94,Copa del Rey,
1994-01-05,Deportivo La Coruña,Real Oviedo,1-3,1,3,1993-94,Copa del Rey,
1994-01-05,Espanyol,Sevilla,0-1,0,1,1993-94,Copa del Rey,
1994-01-05,Logroñés,Celta Vigo,1-0,1,0,1993-94,Copa del Rey,
1994-01-05,Tenerife,Valencia,3-1,3,1,1993-94,Copa del Rey,
1994-01-06,Badajoz,Real Zaragoza,1-0,1,0,1993-94,Copa del Rey,
1994-01-06,Real Betis,Mérida,3-1,3,1,1993-94,Copa del Rey,
1994-01-12,Barcelona,Sporting de Gijón,1-1,1,1,1993-94,Copa del Rey,
1994-01-12,Celta Vigo,Logroñés,1-0,1,0,1993-94,Copa del Rey,
1994-01-12,Mérida,Real Betis,1-1,1,1,1993-94,Copa del Rey,
1994-01-12,Real Oviedo,Deportivo La Coruña,0-1,0,1,1993-94,Copa del Rey,
1994-01-12,Real Zaragoza,Badajoz,3-0,3,0,1993-94,Copa del Rey,
1994-01-12,Sevilla,Espanyol,2-2,2,2,1993-94,Copa del Rey,
1994-01-12,Valencia,Tenerife,3-2,3,2,1993-94,Copa del Rey,
1994-01-13,Atlético Madrid,Real Madrid,2-3,2,3,1993-94,Copa del Rey,
1994-01-25,Tenerife,Real Madrid,2-1,2,1,1993-94,Copa del Rey,
1994-01-26,Real Betis,Barcelona,0-0,0,0,1993-94,Copa del Rey,
1994-01-26,Real Oviedo,Celta Vigo,1-0,1,0,1993-94,Copa del Rey,
1994-01-26,Real Zaragoza,Sevilla,2-1,2,1,1993-94,Copa del Rey,
1994-02-01,Real Madrid,Tenerife,0-3,0,3,1993-94,Copa del Rey,
1994-02-02,Celta Vigo,Real Oviedo,5-0,5,0,1993-94,Copa del Rey,
1994-02-02,Sevilla,Real Zaragoza,1-1,1,1,1993-94,Copa del Rey,
1994-02-03,Barcelona,Real Betis,0-1,0,1,1993-94,Copa del Rey,
1994-02-16,Celta Vigo,Tenerife,3-0,3,0,1993-94,Copa del Rey,
1994-02-17,Real Betis,Real Zaragoza,0-1,0,1,1993-94,Copa del Rey,
1994-03-09,Real Zaragoza,Real Betis,3-1,3,1,1993-94,Copa del Rey,
1994-03-10,Tenerife,Celta Vigo,2-2,2,2,1993-94,Copa del Rey,
1994-04-20,Celta Vigo,Real Zaragoza,0-0,0,0,1993-94,Copa del Rey,Real Zaragoza
1995-02-07,FC Barcelona,Atlético de Madrid,1-4,1,4,1994-95,Copa del Rey,
1995-02-08,Albacete Balompié,Real Zaragoza,2-1,2,1,1994-95,Copa del Rey,
1995-02-08,Athletic Bilbao,Real Betis,4-0,4,0,1994-95,Copa del Rey,
1995-02-08,CD Toledo,RCD Mallorca,1-1,1,1,1994-95,Copa del Rey,
1995-02-08,Palamós CF,Rayo Vallecano,0-1,0,1,1994-95,Copa del Rey,
1995-02-08,Sporting de Gijón,CD Badajoz,1-1,1,1,1994-95,Copa del Rey,
1995-02-08,UE Lleida,Deportivo de La Coruña,0-3,0,3,1994-95,Copa del Rey,
1995-02-09,Real Madrid CF,Valencia CF,1-2,1,2,1994-95,Copa del Rey,
1995-02-14,Atlético de Madrid,FC Barcelona,1-3,1,3,1994-95,Copa del Rey,
1995-02-15,CD Badajoz,Sporting de Gijón,0-3,0,3,1994-95,Copa del Rey,
1995-02-15,Deportivo de La Coruña,UE Lleida,4-1,4,1,1994-95,Copa del Rey,
1995-02-15,RCD Mallorca,CD Toledo,2-0,2,0,1994-95,Copa del Rey,
1995-02-15,Rayo Vallecano,Palamós CF,1-1,1,1,1994-95,Copa del Rey,
1995-02-15,Real Betis,Athletic Bilbao,1-0,1,0,1994-95,Copa del Rey,
1995-02-15,Real Zaragoza,Albacete Balompié,1-1,1,1,1994-95,Copa del Rey,
1995-02-16,Valencia CF,Real Madrid CF,2-1,2,1,1994-95,Copa del Rey,
1995-03-07,Atlético de Madrid,Albacete Balompié,1-1,1,1,1994-95,Copa del Rey,
1995-03-08,RCD Mallorca,Valencia CF,1-0,1,0,1994-95,Copa del Rey,
1995-03-08,Sporting de Gijón,Rayo Vallecano,1-1,1,1,1994-95,Copa del Rey,
1995-03-09,Deportivo de La Coruña,Athletic Bilbao,3-0,3,0,1994-95,Copa del Rey,
1995-03-21,Athletic Bilbao,Deportivo de La Coruña,0-0,0,0,1994-95,Copa del Rey,
1995-03-22,Rayo Vallecano,Sporting de Gijón,0-1,0,1,1994-95,Copa del Rey,
1995-03-22,Valencia CF,RCD Mallorca,4-0,4,0,1994-95,Copa del Rey,
1995-03-23,Albacete Balompié,Atlético de Madrid,1-0,1,0,1994-95,Copa del Rey,
1995-05-30,Sporting de Gijón,Deportivo de La Coruña,0-2,0,2,1994-95,Copa del Rey,
1995-05-31,Valencia CF,Albacete Balompié,1-1,1,1,1994-95,Copa del Rey,
1995-06-13,Albacete Balompié,Valencia CF,1-2,1,2,1994-95,Copa del Rey,
1995-06-14,Deportivo de La Coruña,Sporting de Gijón,0-1,0,1,1994-95,Copa del Rey,
1995-06-24,Deportivo de La Coruña,Valencia CF,1-1,1,1,1994-95,Copa del Rey,
1995-06-27,Deportivo de La Coruña,Valencia CF,2-1,2,1,1994-95,Copa del Rey,
1995-11-28,Atlético Madrid,CP Mérida,4-1,4,1,1995-96,Copa del Rey,
1995-11-29,CD Leganés,RCD Espanyol,0-1,0,1,1995-96,Copa del Rey,
1995-11-29,CD Numancia,Racing Santander,0-0,0,0,1995-96,Copa del Rey,
1995-11-29,FC Andorra,Celta Vigo,0-5,0,5,1995-96,Copa del Rey,
1995-11-29,Hércules CF,Rayo Vallecano,1-1,1,1,1995-96,Copa del Rey,
1995-11-29,Levante UD,CD Tenerife,1-0,1,0,1995-96,Copa del Rey,
1995-11-29,SD Compostela,Real Valladolid,1-0,1,0,1995-96,Copa del Rey,
1995-11-29,UD Salamanca,Athletic Bilbao,0-0,0,0,1995-96,Copa del Rey,
1995-11-29,Écija Balompié,Sporting Gijón,2-0,2,0,1995-96,Copa del Rey,
1995-11-30,Real Oviedo,Valencia CF,1-1,1,1,1995-96,Copa del Rey,
1995-12-12,Valencia CF,Real Oviedo,1-0,1,0,1995-96,Copa del Rey,
1995-12-13,CD Tenerife,Levante UD,6-1,6,1,1995-96,Copa del Rey,
1995-12-13,CP Mérida,Atlético Madrid,4-4,4,4,1995-96,Copa del Rey,
1995-12-13,Celta Vigo,FC Andorra,2-0,2,0,1995-96,Copa del Rey,
1995-12-13,RCD Espanyol,CD Leganés,5-1,5,1,1995-96,Copa del Rey,
1995-12-13,Racing Santander,CD Numancia,0-1,0,1,1995-96,Copa del Rey,
1995-12-13,Rayo Vallecano,Hércules CF,0-1,0,1,1995-96,Copa del Rey,
1995-12-13,Real Valladolid,SD Compostela,1-1,1,1,1995-96,Copa del Rey,
1995-12-13,Sporting Gijón,Écija Balompié,5-0,5,0,1995-96,Copa del Rey,
1995-12-14,Athletic Bilbao,UD Salamanca,3-1,3,1,1995-96,Copa del Rey,
1996-01-09,Atlético Madrid,Betis,1-1,1,1,1995-96,Copa del Rey,
1996-01-10,Athletic Bilbao,Zaragoza,2-3,2,3,1995-96,Copa del Rey,
1996-01-10,Celta Vigo,Valencia,1-1,1,1,1995-96,Copa del Rey,
1996-01-10,Deportivo La Coruña,Tenerife,1-1,1,1,1995-96,Copa del Rey,
1996-01-10,Hércules,Barcelona,0-0,0,0,1995-96,Copa del Rey,
1996-01-10,Numancia,Sporting Gijón,2-1,2,1,1995-96,Copa del Rey,
1996-01-10,Sevilla,Compostela,2-1,2,1,1995-96,Copa del Rey,
1996-01-11,Espanyol,Real Madrid,4-1,4,1,1995-96,Copa del Rey,
1996-01-16,Betis,Atlético Madrid,1-2,1,2,1995-96,Copa del Rey,
1996-01-17,Barcelona,Hércules,4-1,4,1,1995-96,Copa del Rey,
1996-01-17,Compostela,Sevilla,0-1,0,1,1995-96,Copa del Rey,
1996-01-17,Sporting Gijón,Numancia,0-0,0,0,1995-96,Copa del Rey,
1996-01-17,Tenerife,Deportivo La Coruña,2-1,2,1,1995-96,Copa del Rey,
1996-01-17,Valencia,Celta Vigo,3-0,3,0,1995-96,Copa del Rey,
1996-01-17,Zaragoza,Athletic Bilbao,0-1,0,1,1995-96,Copa del Rey,
1996-01-18,Real Madrid,Espanyol,2-1,2,1,1995-96,Copa del Rey,
1996-01-30,Sevilla,Valencia,1-1,1,1,1995-96,Copa del Rey,
1996-01-31,Espanyol,Zaragoza,0-0,0,0,1995-96,Copa del Rey,
1996-01-31,Tenerife,Atlético Madrid,0-0,0,0,1995-96,Copa del Rey,
1996-02-01,Numancia,Barcelona,2-2,2,2,1995-96,Copa del Rey,
1996-02-13,Valencia,Sevilla,2-0,2,0,1995-96,Copa del Rey,
1996-02-14,Barcelona,Numancia,3-1,3,1,1995-96,Copa del Rey,
1996-02-14,Zaragoza,Espanyol,1-1,1,1,1995-96,Copa del Rey,
1996-02-15,Atlético Madrid,Tenerife,3-0,3,0,1995-96,Copa del Rey,
1996-02-21,Valencia,Atlético Madrid,3-5,3,5,1995-96,Copa del Rey,
1996-02-22,Barcelona,Espanyol,1-0,1,0,1995-96,Copa del Rey,
1996-02-28,Espanyol,Barcelona,2-3,2,3,1995-96,Copa del Rey,
1996-02-29,Atlético Madrid,Valencia,1-2,1,2,1995-96,Copa del Rey,
1996-04-10,Barcelona,Atlético Madrid,0-1,0,1,1995-96,Copa del Rey,
1997-01-28,Deportivo La Coruña,Espanyol,2-2,2,2,1996-97,Copa del Rey,
1997-01-29,Atlético Madrid,Compostela,2-0,2,0,1996-97,Copa del Rey,
1997-01-29,Las Palmas,Valencia,0-2,0,2,1996-97,Copa del Rey,
1997-01-29,Lleida,Celta Vigo,1-1,1,1,1996-97,Copa del Rey,
